Zaaknummer;Straat;Huisnummer;Huisletter;Toevoeging;Postcode;Plaats;Adres;Kamer;Wetsartikel;"Inhoud uitspraak";"Leges uitspraak";"Datum afdoening";"Type woonruimte";"Huurprijs voor uitspraak";"Huurprijs na uitspraak";"Voorschot sk voor uitspraak";"Voorschot sk na uitspraak";"Bet.verpl. sk voor uitspraak";"Bet.verpl. sk na uitspraak";"Bet.verpl. sk voor uitspraak Bk2";"Bet.verpl. sk na uitspraak Bk2";"Bet.verpl. sk voor uitspraak Bk3";"Bet.verpl. sk na uitspraak Bk3";"Tijdelijk verlaagde huurprijs";;"Punten woonruimte";Verzoeker
52296;"Ter Gouwstraat ";4;;1-E;1093JZ;AMSTERDAM;"Ter Gouwstraat 4 1-E, 1093JZ AMSTERDAM";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";06-01-20;Zelfstandig;282,79;282,79;;;;;;;;;;;;Huurder
61326;"Burgemeester van Walsumweg";90;;;3011MZ;ROTTERDAM;"Burgemeester van Walsumweg 90, 3011MZ ROTTERDAM";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";03-01-20;Zelfstandig;640,67;640,67;;;;;;;;;;;;Huurder
72480;Hilversumstraat;89;;"Kamer 1 middelste slaapkamer";1024JW;AMSTERDAM;"Hilversumstraat 89 Kamer 1 middelste slaapkamer, 1024JW AMSTERDAM";;"Toetsing aanvangshuurprijs (art. 7:249 BW)";"Er is een all in prijs";"De verzoeker wordt in het gelijk gesteld";14-01-20;Onzelfstandig;700,00;255,92;;;;;;;;;;;;Huurder
38730;"2e Helmersstraat";15;"4 ET AZ";"3 B";1054CA;AMSTERDAM;"2e Helmersstraat 15 4 ET AZ 3 B, 1054CA AMSTERDAM";;"Afrekening servicekosten (art. 7:260 BW) (huurder)";"Servicekosten lager dan afrekening";"De verzoeker wordt in het gelijk gesteld";17-01-20;Onzelfstandig;;;;;1.731,36;283,00;;;;;;;;Huurder
58477;Drebbelstraat;113;;;2522CS;"DEN HAAG";"Drebbelstraat 113, 2522CS DEN HAAG";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";13-01-20;Zelfstandig;420,00;336,00;;;;;;;;;;;;Huurder
56222;"Hof van Beieren";17;;;4625EH;"BERGEN OP ZOOM";"Hof van Beieren 17, 4625EH BERGEN OP ZOOM";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Gebreken deels verholpen of niet verholpen";"De verzoeker wordt in het gelijk gesteld";03-01-20;Zelfstandig;750,39;450,23;;;;;;;;;;;;Huurder
77064;Kramatweg;52;;b;1095JW;AMSTERDAM;"Kramatweg 52 b, 1095JW AMSTERDAM";;"Toetsing aanvangshuurprijs (art. 7:249 BW)";"Niet ontvankelijk";"De wederpartij wordt in het gelijk gesteld";14-01-20;Zelfstandig;950,00;950,00;;;;;;;;;;;;Huurder
41993;Kerkallee;6;;B;6882AT;VELP;"Kerkallee 6 B, 6882AT VELP";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";21-01-20;Zelfstandig;758,35;758,35;;;;;;;;;;;;Huurder
41920;Leeuwenlaan;48;;;1243KB;'S-GRAVELAND;"Leeuwenlaan 48, 1243KB 'S-GRAVELAND";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";21-01-20;Zelfstandig;612,60;245,04;;;;;;;;;;;;Huurder
29009;Saenredamstraat;31;;RD;2021ZM;HAARLEM;"Saenredamstraat 31 RD, 2021ZM HAARLEM";;"Afrekening servicekosten (art. 7:260 BW) (huurder)";"Servicekosten lager dan afrekening";"De verzoeker wordt in het gelijk gesteld";22-01-20;Zelfstandig;;;;;1.131,71;791,53;;;;;;;;Huurder
28586;"van Woustraat";164;;2;1073LW;AMSTERDAM;"van Woustraat 164 2, 1073LW AMSTERDAM";;"Huurverhoging na woningverbetering (art. 7:255 BW) (huurder)";"Huurprijs niet redelijk";"De verzoeker wordt in het gelijk gesteld";21-01-20;Zelfstandig;330,97;367,05;;;;;;;;;;;146;Huurder
73452;Damsterkade;5;"KM 9";A;9711SE;GRONINGEN;"Damsterkade 5 KM 9 A, 9711SE GRONINGEN";;"Afrekening servicekosten (art. 7:260 BW) (huurder)";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";17-01-20;Onzelfstandig;;;;;450,00;281,81;;;;;;;;Huurder
78795;Grotestraat;96;;;5801BH;VENRAY;"Grotestraat 96, 5801BH VENRAY";;"Toetsing aanvangshuurprijs (art. 7:249 BW)";"Geen ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";15-01-20;Zelfstandig;379,17;306,58;;;;;;;;;;;;Huurder
43674;Bilderdijkstraat;53;;B;3532VD;UTRECHT;"Bilderdijkstraat 53 B, 3532VD UTRECHT";"1ste verdieping";"Huurverlaging op grond van punten (art. 7:254 BW)";"Huurprijs niet redelijk";"De verzoeker wordt in het gelijk gesteld";07-01-20;Onzelfstandig;560,00;401,46;;;;;;;;;;;;Huurder
73324;Burgersdijkstraat;9;;;2522WB;"DEN HAAG";"Burgersdijkstraat 9, 2522WB DEN HAAG";;"Toetsing aanvangshuurprijs (art. 7:249 BW)";"Huurprijs niet redelijk";"De verzoeker wordt in het gelijk gesteld";21-01-20;Zelfstandig;835,00;572,48;;;;;;;;;;;116;Huurder
73293;Kommavlinder;55;;;4904ZN;OOSTERHOUT;"Kommavlinder 55, 4904ZN OOSTERHOUT";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";02-01-20;Zelfstandig;566,27;;;;;;;;;;;;;Huurder
64780;"Pottenbakker ";22;;;4661NG;HALSTEREN;"Pottenbakker 22, 4661NG HALSTEREN";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";03-01-20;Zelfstandig;672,98;;;;;;;;;;;;;Huurder
50403;Iependal;30;;;3142AS;MAASSLUIS;"Iependal 30, 3142AS MAASSLUIS";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";28-01-20;Zelfstandig;;;;;;;;;;;;;;Huurder
