Zaaknummer;Straat;Huisnummer;Huisletter;Toevoeging;Postcode;Plaats;Adres;Kamer;Wetsartikel;"Inhoud uitspraak";"Leges uitspraak";"Datum afdoening";"Type woonruimte";"Huurprijs voor uitspraak";"Huurprijs na uitspraak";"Voorschot sk voor uitspraak";"Voorschot sk na uitspraak";"Bet.verpl. sk voor uitspraak";"Bet.verpl. sk na uitspraak";"Bet.verpl. sk voor uitspraak Bk2";"Bet.verpl. sk na uitspraak Bk2";"Bet.verpl. sk voor uitspraak Bk3";"Bet.verpl. sk na uitspraak Bk3";"Tijdelijk verlaagde huurprijs";;"Punten woonruimte";Verzoeker
88358;Schans;37;;;2141MZ;VIJFHUIZEN;"Schans 37, 2141MZ VIJFHUIZEN";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Geen inhoudelijke uitspraak";"De wederpartij wordt in het gelijk gesteld";28-02-22;Zelfstandig;765,00;765,00;;;;;;;;;;;;Huurder
88277;Aleidastraat;132;;A;3117DP;SCHIEDAM;"Aleidastraat 132 A, 3117DP SCHIEDAM";2;"Huurverlaging op grond van punten (art. 7:254 BW)";"Huurprijs is redelijk";"De verzoeker wordt in het gelijk gesteld";01-03-22;Onzelfstandig;300,00;165,06;;;;;;;;;;;78;Huurder
85439;Fuutstraat;6;;B;3082NB;ROTTERDAM;"Fuutstraat 6 B, 3082NB ROTTERDAM";;"Toetsing aanvangshuurprijs (art. 7:249 BW)";"Geen ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";28-01-22;Zelfstandig;845,00;577,74;;;;;;;;;;;117;Huurder
84726;"Bellatrixstraat ";261;;;1974AP;IJMUIDEN;"Bellatrixstraat 261, 1974AP IJMUIDEN";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";27-01-22;Zelfstandig;554,69;554,69;;;;;;;;;;;;Huurder
83721;Lorentzlaan;95;;;1097KJ;AMSTERDAM;"Lorentzlaan 95, 1097KJ AMSTERDAM";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";14-03-22;Zelfstandig;612,83;612,83;;;;;;;;;;;;Huurder
83505;"Puntegaalstraat ";143;;;3024EB;ROTTERDAM;"Puntegaalstraat 143, 3024EB ROTTERDAM";;"Afrekening servicekosten (art. 7:260 BW) (huurder)";"Servicekosten lager dan afrekening";"De verzoeker wordt in het gelijk gesteld";17-03-22;Zelfstandig;;;;;1.613,02;1.234,84;1.527,34;1.121,22;;;;;;Huurder
93335;"Professor Teldersstraat";304;;;3132AZ;VLAARDINGEN;"Professor Teldersstraat 304, 3132AZ VLAARDINGEN";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";11-03-22;Zelfstandig;;;;;;;;;;;;;;Huurder
91338;Amsterdamsestraatweg;207;;BIS;3551CB;UTRECHT;"Amsterdamsestraatweg 207 BIS, 3551CB UTRECHT";"KM C 2 ET AT";"Toetsing aanvangshuurprijs (art. 7:249 BW)";"Geen inhoudelijke uitspraak";"De wederpartij wordt in het gelijk gesteld";14-02-22;Onzelfstandig;230,00;;;;;;;;;;;;;Huurder
96106;"Van Drieststraat";83;;;2552VR;"DEN HAAG";"Van Drieststraat 83, 2552VR DEN HAAG";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";11-03-22;Zelfstandig;418,77;;;;;;;;;;167,51;;;Huurder
94210;Kotmanlaan;43;;;7543BX;ENSCHEDE;"Kotmanlaan 43, 7543BX ENSCHEDE";;"Klacht over een gedraging van de verhuurder (art. 4.5 UHW)";"Niet gegrond";"De wederpartij wordt in het gelijk gesteld";07-02-22;Zelfstandig;;;;;;;;;;;;;;Huurder
