Zaaknummer;Straat;Huisnummer;Huisletter;Toevoeging;Postcode;Plaats;Adres;Kamer;Wetsartikel;"Inhoud uitspraak";"Leges uitspraak";"Datum afdoening";"Type woonruimte";"Huurprijs voor uitspraak";"Huurprijs na uitspraak";"Voorschot sk voor uitspraak";"Voorschot sk na uitspraak";"Bet.verpl. sk voor uitspraak";"Bet.verpl. sk na uitspraak";"Bet.verpl. sk voor uitspraak Bk2";"Bet.verpl. sk na uitspraak Bk2";"Bet.verpl. sk voor uitspraak Bk3";"Bet.verpl. sk na uitspraak Bk3";"Tijdelijk verlaagde huurprijs";;"Punten woonruimte";Verzoeker
8147;Visserstraat;44;;A;9712CW;GRONINGEN;"Visserstraat 44 A, 9712CW GRONINGEN";;"Toetsing aanvangshuurprijs (art. 7:249 BW)";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";13-08-18;Onzelfstandig;365;109,5;;;;;;;;;;;;Huurder
1827;Londenstraat;69;;;2034RV;HAARLEM;"Londenstraat 69, 2034RV HAARLEM";;"Afrekening servicekosten (art. 7:260 BW) (huurder)";"Servicekosten lager dan afrekening";"De verzoeker wordt in het gelijk gesteld";31-12-18;Zelfstandig;;;;;2656,46;2157,99;;;;;;;;Huurder
7564;St.-Jacobsstraat;291;;;3511BP;UTRECHT;"St.-Jacobsstraat 291, 3511BP UTRECHT";;"Afrekening servicekosten (art. 7:260 BW) (huurder)";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";31-12-18;Onzelfstandig;;;;;1400;333,08;;;;;;;;Huurder
7576;St.-Jacobsstraat;291;;;3511BP;UTRECHT;"St.-Jacobsstraat 291, 3511BP UTRECHT";;"Afrekening servicekosten (art. 7:260 BW) (huurder)";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";31-12-18;Onzelfstandig;;;;;1860;402,67;;;;;;;;Huurder
9738;Julianaweg;309;;D;3523XC;UTRECHT;"Julianaweg 309 D, 3523XC UTRECHT";;"Splitsen all-in huurprijs (art. 7:258 BW)";"Er is een all in prijs";"De verzoeker wordt in het gelijk gesteld";31-12-18;Zelfstandig;775;426,25;;;;193,75;;;;;;;;Huurder
14359;"Marco Polostraat";196;;H;1057WZ;AMSTERDAM;"Marco Polostraat 196 H, 1057WZ AMSTERDAM";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";31-12-18;Zelfstandig;439,94;439,94;;;;;;;;;;;;Huurder
15293;"Jacob Geelstraat";77;;1;1065VS;AMSTERDAM;"Jacob Geelstraat 77 1, 1065VS AMSTERDAM";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";31-12-18;Zelfstandig;455,68;455,68;;;;;;;;;;;;Huurder
15318;Wouwermanstraat;16;;2;1071LZ;AMSTERDAM;"Wouwermanstraat 16 2, 1071LZ AMSTERDAM";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Niet ontvankelijk";"De wederpartij wordt in het gelijk gesteld";31-12-18;Onzelfstandig;1050,73;1050,73;;;;;;;;;;;;Huurder
15779;"James Cookstraat";16;;2;1056RZ;AMSTERDAM;"James Cookstraat 16 2, 1056RZ AMSTERDAM";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";31-12-18;Zelfstandig;414,44;414,44;;;;;;;;;;;;Huurder
15386;Frieslandstraat;71;;3;1082TL;AMSTERDAM;"Frieslandstraat 71 3, 1082TL AMSTERDAM";;"Afrekening servicekosten (art. 7:260 BW) (huurder)";"Servicekosten conform afrekening";"De wederpartij wordt in het gelijk gesteld";31-12-18;Zelfstandig;;;;;1090,95;1090,95;;;;;;;;Huurder
