Zaaknummer;Straat;Huisnummer;Huisletter;Toevoeging;Postcode;Plaats;Adres;Kamer;Wetsartikel;"Inhoud uitspraak";"Leges uitspraak";"Datum afdoening";"Type woonruimte";"Huurprijs voor uitspraak";"Huurprijs na uitspraak";"Voorschot sk voor uitspraak";"Voorschot sk na uitspraak";"Bet.verpl. sk voor uitspraak";"Bet.verpl. sk na uitspraak";"Bet.verpl. sk voor uitspraak Bk2";"Bet.verpl. sk na uitspraak Bk2";"Bet.verpl. sk voor uitspraak Bk3";"Bet.verpl. sk na uitspraak Bk3";"Tijdelijk verlaagde huurprijs";;"Punten woonruimte";Verzoeker
11617;"Verlengde Kazernestraat";39;;;7417ZA;DEVENTER;"Verlengde Kazernestraat 39, 7417ZA DEVENTER";;"Toetsing aanvangshuurprijs (art. 7:249 BW)";"Huurprijs niet redelijk";"De verzoeker wordt in het gelijk gesteld";23-01-19;Zelfstandig;630;559,4;;;;;;;;;;;;Huurder
36074;Scharnestraat;38;;A;8601BB;SNEEK;"Scharnestraat 38 A, 8601BB SNEEK";;"Toetsing aanvangshuurprijs (art. 7:249 BW)";"Huurprijs niet redelijk";"De verzoeker wordt in het gelijk gesteld";30-01-19;Zelfstandig;465;195,56;;;;;;;;;;;;Huurder
35688;Schaepmanstraat;154;;;1051JH;AMSTERDAM;"Schaepmanstraat 154, 1051JH AMSTERDAM";;"Toetsing aanvangshuurprijs (art. 7:249 BW)";"Huurprijs is redelijk";"De wederpartij wordt in het gelijk gesteld";31-01-19;Zelfstandig;925;925;;;;;;;;;;;;Huurder
33592;Ciprianussteeg;2;;A;8911JG;LEEUWARDEN;"Ciprianussteeg 2 A, 8911JG LEEUWARDEN";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";30-01-19;Zelfstandig;690,79;690,79;;;;;;;;;;;;Huurder
11622;"Verlengde Kazernestraat";101;;;7417ZA;DEVENTER;"Verlengde Kazernestraat 101, 7417ZA DEVENTER";;"Toetsing aanvangshuurprijs (art. 7:249 BW)";"Huurprijs niet redelijk";"De verzoeker wordt in het gelijk gesteld";23-01-19;Zelfstandig;575;533,47;;;;;;;;;;;;Huurder
33504;Ciprianussteeg;2;;C;8911JG;LEEUWARDEN;"Ciprianussteeg 2 C, 8911JG LEEUWARDEN";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";31-01-19;Zelfstandig;674,94;674,94;;;;;;;;;;;;Huurder
32782;Rustenburgerstraat;382;;1;1072HG;AMSTERDAM;"Rustenburgerstraat 382 1, 1072HG AMSTERDAM";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";31-01-19;Zelfstandig;558,87;558,87;;;;;;;;;;;;Huurder
27692;Duinluststraat;117;;;1024WC;AMSTERDAM;"Duinluststraat 117, 1024WC AMSTERDAM";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";31-01-19;Zelfstandig;585,21;585,21;;;;;;;;;;;;Huurder
11632;"Verlengde Kazernestraat";37;;"begane grond";7417ZA;DEVENTER;"Verlengde Kazernestraat 37 begane grond, 7417ZA DEVENTER";;"Toetsing aanvangshuurprijs (art. 7:249 BW)";"Huurprijs niet redelijk";"De verzoeker wordt in het gelijk gesteld";23-01-19;Zelfstandig;630;569,76;;;;;;;;;;;;Huurder
27660;"Sint Anna'shof";16;;;2311VA;LEIDEN;"Sint Anna'shof 16, 2311VA LEIDEN";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";01-02-19;Zelfstandig;469,71;281,83;;;;;;;;;;;;Huurder
27183;Pretoriusstraat;75;;-2;1092GC;AMSTERDAM;"Pretoriusstraat 75 -2, 1092GC AMSTERDAM";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";01-02-19;Zelfstandig;454,25;454,25;;;;;;;;;;;;Huurder
26374;Koninginnelaan;4;;A;9717BT;GRONINGEN;"Koninginnelaan 4 A, 9717BT GRONINGEN";;"Afrekening servicekosten (art. 7:260 BW) (huurder)";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";25-01-19;Onzelfstandig;;;;;540;189,93;;;;;;;;Huurder
11635;"Verlengde Kazernestraat";155;;;7417ZA;DEVENTER;"Verlengde Kazernestraat 155, 7417ZA DEVENTER";;"Toetsing aanvangshuurprijs (art. 7:249 BW)";"Huurprijs niet redelijk";"De verzoeker wordt in het gelijk gesteld";23-01-19;Zelfstandig;620;559,4;;;;;;;;;;;;Huurder
26369;Koninginnelaan;4;;A;9717BT;GRONINGEN;"Koninginnelaan 4 A, 9717BT GRONINGEN";;"Afrekening servicekosten (art. 7:260 BW) (huurder)";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";25-01-19;Onzelfstandig;;;;;480;189,93;;;;;;;;Huurder
26339;Koninginnelaan;4;;A;9717BT;GRONINGEN;"Koninginnelaan 4 A, 9717BT GRONINGEN";;"Afrekening servicekosten (art. 7:260 BW) (huurder)";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";25-01-19;Onzelfstandig;;;;;480;189,93;;;;;;;;Huurder
11642;"Verlengde Kazernestraat";61;;;7417ZA;DEVENTER;"Verlengde Kazernestraat 61, 7417ZA DEVENTER";;"Toetsing aanvangshuurprijs (art. 7:249 BW)";"Huurprijs niet redelijk";"De verzoeker wordt in het gelijk gesteld";23-01-19;Zelfstandig;520;502,36;;;;;;;;;;;;Huurder
25910;Rustenburgerstraat;4;;2;1072HJ;AMSTERDAM;"Rustenburgerstraat 4 2, 1072HJ AMSTERDAM";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";31-01-19;Zelfstandig;259,14;259,14;;;;;;;;;;;;Huurder
25768;Koninginnelaan;4;;A;9717BT;GRONINGEN;"Koninginnelaan 4 A, 9717BT GRONINGEN";;"Afrekening servicekosten (art. 7:260 BW) (huurder)";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";25-01-19;Onzelfstandig;;;;;240;94,97;;;;;;;;Huurder
18516;Brugstraat;22;;C;9711HZ;GRONINGEN;"Brugstraat 22 C, 9711HZ GRONINGEN";;"Huurverlaging op grond van punten (art. 7:254 BW)";"Huurprijs niet redelijk";"De verzoeker en wederpartij worden beide in het gelijk/ongelijk gesteld";23-01-19;Onzelfstandig;375,22;268,81;;;;;;;;;;;;Huurder
25702;"van Woustraat";141;;-1;1074AJ;AMSTERDAM;"van Woustraat 141 -1, 1074AJ AMSTERDAM";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";01-02-19;Zelfstandig;354,16;283,33;;;;;;;;;;;;Huurder
20755;Houtmanstraat;24;;;1013MN;AMSTERDAM;"Houtmanstraat 24, 1013MN AMSTERDAM";;"Afrekening servicekosten (art. 7:260 BW) (huurder)";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";23-01-19;Zelfstandig;;;;;0;758,46;;;;;;;;Huurder
25002;Rozenstraat;18;;;6814EE;ARNHEM;"Rozenstraat 18, 6814EE ARNHEM";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";30-01-19;Zelfstandig;432,78;129,83;;;;;;;;;;;;Huurder
12230;Bedumerweg;50;;"KM VR";9716AD;GRONINGEN;"Bedumerweg 50 KM VR, 9716AD GRONINGEN";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Er is een all in prijs";"De wederpartij wordt in het gelijk gesteld";22-01-19;Onzelfstandig;310;170,5;;;;;;;;;;;;Huurder
